3f2a01296fb63016,-1.437,5.378,44.916,0.071,0.081,0.141,000,oth
 8cff77adfacb8ea3,-2.999,6.156,102.341,0.061,0.164,0.885,000,ped
3f2a01296fb63016,-3.920,1.062,102.273,0.038,0.059,0.555,000,oth
72798badbbaad8fd,-3.183,-2.689,102.396,0.124,0.295,1.411,000,bik
e10a6901c6e703a8,-3.762,-3.785,90.724,0.463,0.042,0.329,000,oth
6ef4cb24564aee21,-2.415,-3.166,51.757,0.297,0.614,0.625,000,bik
c9137b8c7cbf022,-1.838,-5.657,42.522,1.786,2.946,1.546,000,car
f866829bf3bb98a4,-1.931,-8.531,42.022,0.250,0.198,0.959,000,ped
5bebfdd22558da84,-3.975,2.459,102.298,0.051,0.187,0.529,000,oth
24000d6fae7d36af,-1.638,-5.037,48.616,0.792,0.412,0.438,000,bik
9b5b4986e6f35007,-2.058,-4.390,48.236,0.559,0.513,0.991,000,ped
d90670dbb0190820,-1.655,-6.278,51.483,0.378,0.061,0.208,000,oth
f7d78e7dd76804a,-2.151,-3.488,48.143,0.648,0.459,0.835,000,bik
85ece9e846e40ee,-3.794,4.116,102.258,0.390,0.051,0.362,000,ped
