3f2a01296fb63016,-1.434,5.326,44.819,0.083,0.128,0.189,000,oth
 8cff77adfacb8ea3,-1.530,5.805,46.855,0.169,0.022,0.228,26923,oth
8cff77adfacb8ea3,-3.007,6.072,102.340,0.066,0.179,0.921,000,ped
3f2a01296fb63016,-3.885,1.153,102.281,0.146,0.074,0.582,000,oth
72798badbbaad8fd,-3.310,-2.773,102.380,0.132,0.154,1.414,000,bik
e10a6901c6e703a8,-3.740,-3.564,90.819,0.012,0.025,0.342,000,oth
6ef4cb24564aee21,-2.420,-3.162,51.764,0.297,0.627,0.626,000,bik
353c2feae4ab6c5f,-2.227,-3.459,47.871,0.144,0.259,0.672,000,ped
c9137b8c7cbf022,-1.839,-5.648,42.529,1.787,2.946,1.545,000,car
f866829bf3bb98a4,-1.849,-8.557,42.059,0.304,0.213,0.933,000,ped
5bebfdd22558da84,-3.860,2.434,102.293,0.049,0.260,0.481,000,oth
24000d6fae7d36af,-1.634,-4.947,48.570,0.855,0.236,0.442,1714,bik
9b5b4986e6f35007,-2.070,-4.469,48.017,0.581,0.466,1.017,27578,ped
d90670dbb0190820,-1.618,-6.372,51.487,0.416,0.052,0.185,000,oth
f7d78e7dd76804a,-2.113,-3.526,48.138,0.345,0.570,0.859,000,ped
85ece9e846e40ee,-3.825,4.079,102.253,0.422,0.028,0.374,000,ped
9fd19d19d1710e96,-2.154,-4.214,47.857,0.190,0.323,0.975,000,ped
441e54af25b8cd2e,-1.623,-5.317,48.279,0.476,0.327,0.411,000,bik
