3f2a01296fb63016,-1.409,5.306,44.752,0.086,0.143,0.205,21833,oth
 8cff77adfacb8ea3,-1.479,5.776,46.872,0.207,0.036,0.246,000,oth
8cff77adfacb8ea3,-3.012,5.941,102.378,0.063,0.052,0.896,000,ped
3f2a01296fb63016,-3.951,0.994,102.297,0.109,0.075,0.594,000,oth
72798badbbaad8fd,-3.294,-2.771,102.343,0.134,0.182,1.389,000,bik
e10a6901c6e703a8,-3.803,-4.060,90.682,0.104,0.030,0.344,000,oth
6ef4cb24564aee21,-2.422,-3.171,51.754,0.297,0.636,0.627,000,bik
c9137b8c7cbf022,-1.840,-5.652,42.535,1.788,2.947,1.545,000,car
f866829bf3bb98a4,-1.863,-8.530,42.017,0.322,0.233,0.953,000,ped
5bebfdd22558da84,-3.928,2.623,102.304,0.053,0.054,0.508,000,oth
86daa0d6e0ce048a,-1.640,-5.511,48.613,0.707,0.501,0.325,000,bik
9b5b4986e6f35007,-2.024,-4.640,48.020,0.539,0.393,1.033,28600,ped
d90670dbb0190820,-1.577,-6.115,51.507,0.433,0.051,0.159,000,oth
f7d78e7dd76804a,-2.131,-3.499,48.249,0.397,0.595,0.879,000,ped
85ece9e846e40ee,-3.758,4.016,102.248,0.438,0.029,0.361,000,ped
65123e3b1ff5829e,-2.877,6.346,102.316,0.023,0.003,0.696,000,ped
9fd19d19d1710e96,-2.108,-4.036,48.004,0.241,0.346,0.997,000,ped
